motor,marca,modelo,preco,quilometragem,ano,informacoes
2.0,Chevrolet,astra,19990,76000,2010,Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p
2.0,Chevrolet,astra,23990,135000,2002,Astra 2.0 8v Sunny 3p
2.0,Chevrolet,astra,26900,77500,2007,Astra 2.0 Advantage Flex Power Aut. 5p
2.0,Chevrolet,astra,25900,185600,2003,Astra Sedan 2.0 Sfi Cd Sedan 16v
2.0,Chevrolet,astra,19900,195265,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,25900,159,2009,Astra Astra Hatch Advantage 2.0 8v 4p
2.0,Chevrolet,astra,25900,106523,2009,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,28900,257935,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p
2.0,Chevrolet,astra,15900,170000,2004,Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,19900,99900,2006,Astra 2.0 Mpfi Elegance 8v Flex 4p Manual
2.0,Chevrolet,astra,22900,50000,2005,Astra 2.0 16v Gsi 5p
2.0,Chevrolet,astra,59900,93000,2000,Astra 2.0 Mpfi Gls 8v Gasolina 2p Manual
2.0,Chevrolet,astra,24999,188000,2011,Astra 2.0 Mpfi Advantage 8v
2.0,Chevrolet,astra,26500,168337,2009,Astra 2.0 Especial Advantage Flex Power 5p 121 Hp
2.0,Chevrolet,astra,24990,223000,2004,Astra 2.0 8v 5p
,Chevrolet,astra,24900,200000,2000,Astra Gls
2.0,Chevrolet,astra,13900,82000,2001,Astra 2.0 Mpfi Sport 8v
1.8,Chevrolet,astra,29880,260530,2001,Astra 1.8 Gl 3p
2.0,Chevrolet,astra,13990,164758,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra,19800,120000,2008,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra,21900,160000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra,23800,185600,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,19900,117,2004,Astra 2.0 8v Cd 5p
2.0,Chevrolet,astra,16500,0,2003,Astra 2.0 8v Aut. 5p
,Chevrolet,astra,18500,256000,2005,Astra Sedan Astra Sedan Flexpower 4p
1.8,Chevrolet,astra,19500,1,2000,Astra Sedan Astra Sedan 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,11900,1,2009,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra,21900,233000,2000,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra,10990,180000,2000,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra,14900,150000,2005,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,18000,180,2001,Astra Sedan Astra Sedan 2.0 Mpfi Gls Sedan 8v Gasolina 4p Manual
1.8,Chevrolet,astra,16900,207374,1999,Astra Sedan 1.8 Gl 4p
2.0,Chevrolet,astra,14000,1,2004,Astra Sedan 2.0 8v Cd 4p
,Chevrolet,astra,11000,100,2006,Astra Sedan Astra Sedan Flexpower 4p
2.0,Chevrolet,astra-sedan,147900,98000,2010,Astra 2.0 Mpfi Advantage Sedan 8v
2.0,Chevrolet,astra-sedan,22990,112000,2011,Astra Sedan Astra Advantage 2.0 Mpfi 8v Flexpower 5p
2.0,Chevrolet,astra-sedan,27900,123000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra-sedan,24000,239429,1999,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra-sedan,16900,130000,2011,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,23900,210000,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra-sedan,16490,120000,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,26000,190000,2002,Astra Sedan 2.0 8v 4p
,Chevrolet,astra-sedan,18900,136500,2007,Astra Sedan Astra Sed.advantage 2.0mpfi 16v  4p
2.0,Chevrolet,astra-sedan,22990,251156,2005,Astra 2.0 Mpfi Elite Sedan 8v
2.0,Chevrolet,astra-sedan,23990,170000,2002,Astra Sedan 2.0 Automática
2.0,Chevrolet,astra-sedan,15900,999999,2007,Astra Sedan Astra Sedan Advantage 2.0 (flex)
2.0,Chevrolet,astra-sedan,21900,152000,2006,Astra 2.0 Mpfi Elegance Sedan 8v Flex 4p Automático
1.6,Chevrolet,astra-sedan,19900,1,2010,Astra 1.6
2.0,Chevrolet,astra-sedan,21500,179000,2000,Astra Sedan 2.0 Mpfi Gls Sedan 8v
2.0,Chevrolet,astra-sedan,13900,87000,2009,Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp
2.0,Chevrolet,astra-sedan,24900,122242,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,18900,209000,2003,Astra 2.0 Mpfi Sedan 8v Gasolina 4p Manual
,Chevrolet,astra-sedan,14890,303000,2002,Astra Sedan Astra Expression
1.8,Chevrolet,astra-sedan,12300,1,2003,Astra Sedan Astra Sedan 1.8 Mpfi Comfort Sedan 8v Álcool 4p Manual
2.0,Chevrolet,astra-sedan,15900,80000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 121 Hp
2.0,Chevrolet,astra-sedan,20000,113649,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
1.8,Chevrolet,astra-sedan,28990,111,2003,Astra Sedan 1.8 Sedan 4p
2.0,Chevrolet,astra-sedan,13000,76000,2010,Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p
2.0,Chevrolet,astra-sedan,23990,185600,2003,Astra Sedan 2.0 Sfi Cd Sedan 16v
2.0,Chevrolet,astra-sedan,19900,122000,2011,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Automático
2.0,Chevrolet,astra-sedan,26890,257935,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p
2.0,Chevrolet,astra-sedan,15900,170000,2004,Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,19900,173000,2004,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra-sedan,16900,165491,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
,Chevrolet,astra-sedan,22900,200000,2000,Astra Gls
2.0,Chevrolet,astra-sedan,13900,120000,2007,Astra 2.0 Mpfi Advantage Sedan
2.0,Chevrolet,astra-sedan,17900,1,2009,Astra Sedan Astra Hatch Advantage 2.0 8v 4p
2.0,Chevrolet,astra-sedan,21890,230000,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,19990,164758,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra-sedan,19800,120000,2008,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra-sedan,21900,185600,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,19900,151628,2007,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,21900,86000,2008,Astra Astra Sedan Advantage 2.0 (flex)
2.0,Chevrolet,astra-sedan,21900,134000,2006,Astra 2.0 Mpfi Elegance Sedan 8v
,Chevrolet,astra-sedan,20900,256000,2005,Astra Sedan Astra Sedan Flexpower 4p
2.0,Chevrolet,astra-sedan,19500,93552,2010,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
1.8,Chevrolet,astra-sedan,27900,1,2000,Astra Sedan Astra Sedan 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,11900,1,2009,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,21900,233000,2000,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra-sedan,10990,180000,2000,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra-sedan,14900,89922,2007,Astra Sedan 2.0 Advantage Flex Power 4p
1.8,Chevrolet,astra-sedan,23800,207374,1999,Astra Sedan 1.8 Gl 4p
2.0,Chevrolet,astra-sedan,19800,120000,2007,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,19990,1,2007,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra-sedan,18900,122242,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,28990,113649,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
1.8,Chevrolet,astra-sedan,13000,111,2003,Astra Sedan 1.8 Sedan 4p
2.0,Chevrolet,astra-sedan,15900,257935,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p
2.0,Chevrolet,astra-sedan,16900,173000,2004,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra-sedan,19800,164758,2005,Astra Sedan 2.0 Comfort Flex Power 4p
