preco,quilometragem,ano,marca,modelo,informacoes
264999,122000,2014,volkswagem,Saveiro,1.6 Cab. Estendida Total Flex 2p
38400,0,2021,nissan,Frontier,Attack
182778,0,2020,fiat,Toro,2.0 Ranch 4x4 Aut. 4p
142000,0,2020,nissan,Frontier,2.3 Attack Cab. Dupla 4x4 Aut. 4p
177900,168000,2004,Mitsubishi,L200,2.5 Sport Hpe Cab. Dupla 4x4 Aut. 4p
48900,0,2020,chevrolet,Montana,Ls 1.4
62500,167000,2013,chevrolet,Montana,1.4 Ls Econoflex 2p
29990,48728,2019,fiat,Toro,Toro Volcano 2.0 Diesel At9 4x4
119900,100000,2015,ford,Ranger,3.2 Xlt Cab. Dupla 4x4 Aut. 4p
100000,183000,2012,nissan,Frontier,2.5 Se Attack 4x4 Cd Turbo Eletronic
74900,55000,2016,fiat,Strada,1.8 16v Adventure Cab. Dupla Flex Dualogic 3p
59900,244000,2013,ford,Ranger,3.2 Limited Cab. Dupla 4x4 Aut. 4p
95000,0,2021,mercedes,Sprinter,Chassi 2.2 Cdi 416 Rs Longo 2p
162900,45000,2018,fiat,Strada,1.4 Working Flex 2p
39900,0,2021,fiat,Toro,2.0 Ranch 4x4 Aut. 4p
149698,31000,2020,volkswagem,Saveiro,1.6 Trendline Cab. Simples Total Flex 2p
57980,0,2020,fiat,Toro,Toro Ultra Diesel 4x4
151366,0,2021,fiat,Toro,1.8 16v Freedom Flex 4x2 Aut. 4p
107626,100000,2014,chevrolet,Trailblazer,3.6 V6 Ltz 4x4 Aut. 5p
79800,0,2021,fiat,Toro,2.0 Freedom 4x4 Aut. 4p
132601,0,2020,chevrolet,S10,2.8 Ltz Cab. Dupla 4x4 Aut. 4p
219990,290000,2000,ford,F-250,4.2 Td Xl 2p
62900,104302,2013,volkswagem,Saveiro,1.6 Cab. Simples Total Flex 2p
28500,57137,2019,chevrolet,S10,2.8 Ltz Cab. Dupla 4x4 Aut. 4p
165000,70200,2019,chevrolet,Montana,1.4 Ls Econoflex 2p
38910,17000,2020,volkswagem,Amarok,2.0 Comfortline Cab. Dupla 4x4 Aut. 4p
185900,140000,2009,ford,Ranger,2.3 Xlt 16v 4x2 Cd
39890,260253,2012,fiat,Strada,1.4 Working Flex 2p
26990,240000,2006,dodge,Ram,2500 5.9 Cab. Dupla 4x4 4p
90000,92000,2013,toyota,Hilux,2.7 Sr Cab. Dupla 4x2 Flex Aut. 4p
80990,173000,2001,volkswagem,Saveiro,1.8 2p
95990,0,2020,mercedes,Sprinter,"Furgão 2.2 Cdi 416 Longo Teto Alto 10,5m3 5p"
172900,0,2021,renault,Master,2.3 L1h1 5p
149900,0,2021,renault,Master,Refrigerada - 10graus
166900,0,2021,fiat,Ducato,2.3 (13m3) 5p
159900,0,2021,renault,Master,2.3 Extra L3h2 5p
159900,0,2021,fiat,Ducato,Chassi
154900,0,2021,fiat,Ducato,Chassi Báu Carga Seca
139900,0,2021,peugeot,Expert,Furgão
136900,0,2021,renault,Master,2.3 Grand L2h2 5p
151900,0,2021,citroen,Jumpy,Furgão
129900,0,2020,fiat,Ducato,Chassi
134900,0,2019,renault,Master,2.3 L1h1 5p
135900,0,2020,fiat,Ducato,2.3 (13m3) 5p
159900,0,2021,fiat,Ducato,2.3 (13m3) 5p
166900,0,2021,mercedes,Sprinter,"Furgão 2.2 Cdi 416 Longo Teto Alto 10,5m3 5p"
203900,0,2021,renault,Master,2.3 L1h1 5p
145900,0,2021,renault,Master,2.3 L1h1 5p
145900,0,2021,mercedes,Sprinter,"Furgão 2.2 314 Street Cdi Longo Teto Alto 10,5m3 5p"
185900,0,2021,fiat,Ducato,Chassi Báu Carga Seca
154900,0,2021,renault,Master,2.3 Grand L2h2 5p
151900,0,2019,fiat,Ducato,Furgão
153900,0,2021,fiat,Ducato,2.3 Curto (8m3) 5p
147900,0,2021,renault,Master,2.3 Grand L2h2 5p
194900,0,2019,fiat,Ducato,2.3 Médio (10m3) 5p
179900,0,2021,mercedes,Sprinter,"Furgão 2.2 Cdi 416 Longo Teto Alto 10,5m3 5p"
165900,0,2020,fiat,Ducato,2.3 Curto (8m3) 5p
157900,0,2021,renault,Master,2.3 L1h1 5p
157900,0,2020,peugeot,Expert,Business
139900,0,2021,citroen,Jumpy,Furgão Furgão
129900,0,2021,renault,Master,2.3 Extra L3h2 5p
189900,0,2021,renault,Master,2.3 Grand L2h2 5p
151900,0,2021,fiat,Ducato,2.3 (13m3) 5p
159900,0,2021,renault,Master,2.3 Grand L2h2 5p
159900,0,2021,renault,Master,2.3 Grand L2h2 5p
194900,0,2021,renault,Master,2.3 Extra L3h2 5p
159900,0,2020,fiat,Ducato,Chassi
134900,0,2021,renault,Master,2.3 Extra L3h2 5p
179900,0,2021,fiat,Ducato,2.3 (13m3) 5p
159900,0,2021,renault,Master,2.3 L1h1 5p
145900,0,2021,renault,Master,2.3 Grand L2h2 5p
134900,10,2021,renault,Master,2.3 Grand L2h2 5p
166900,0,2021,peugeot,Expert,Furgão
136900,0,2021,renault,Master,2.3 Grand L2h2 5p
194900,0,2021,renault,Master,2.3 L1h1 5p
145900,132416,2015,fiat,Ducato,2.3 Multijet Teto Alto Economy 5p
116900,0,2021,mercedes,Sprinter,"Furgão 2.2 Cdi 314 Street Longo Teto Alto 10,5m3 5p"
185900,0,2020,peugeot,Expert,Business
139900,0,2020,peugeot,Expert,Business
299990,0,2020,mercedes,Sprinter,Van Executiva
184900,0,2019,mercedes,Sprinter,Van 2.2 Cdi 515 Teto Alto 5p
199900,0,2021,renault,Master,2.3 Executive L3h2 16l 5p
210900,0,2019,fiat,Ducato,2.3 Comfort (15l) 5p
194900,250855,2004,peugeot,Boxer,Minibus 2.8 Td 16l 5p
43900,0,2019,mercedes,Sprinter,Van Executiva Longa
173900,280000,2010,renault,Master,2.5 Dci L2h2 16l 5p
69900,0,2019,fiat,Ducato,2.3 Executivo (15l) 5p
194900,1,2012,fiat,Ducato,2.3 Multijet Longo Teto Alto Economy 5p
87900,0,2019,fiat,Ducato,2.3 Comfort El (15l) 5p
194900,105000,2014,fiat,Ducato,2.3 Multijet Economy 5p
99900,1,2016,renault,Master,2.3 Executive L3h2 16l 5p
139900,132416,2015,fiat,Ducato,2.3 Multijet Longo Teto Alto Economy 5p
116900,0,2020,fiat,Ducato,Executiva
188900,111360,2014,citroen,Jumper,2.3 Hdi 33m 15l 5p
84900,0,2020,renault,Master,2.3 Executive L3h2 16l 5p
162900,0,2021,mercedes,Sprinter,Van 2.2 Cdi 416 Longo (16l) 5p
193900,100,2014,fiat,Ducato,Escolar Escolar 20 Lugares
95900,294679,2008,citroen,Jumper,2.8 Hdi 16l 5p
59900,166000,2013,fiat,Ducato,2.3 Multijet Economy 5p
94900,1,2013,peugeot,Boxer,Minibus 2.3 Hdi 350lh Longo 15l 5p
96900,255000,2012,fiat,Ducato,Escolar
89900,100,2014,citroen,Jumper,2.3 Hdi 16l 5p
89900,1,2016,peugeot,Boxer,Minibus 2.3 Hdi 350lh Longo 15l 5p
94900,0,2020,mercedes,Sprinter,Van Executiva
223900,1,2014,fiat,Ducato,2.3 Multijet Longo Teto Alto Economy 5p
107900,764000,2010,peugeot,Boxer,Minibus 2.3 Hdi 330m Médio 15l 5p
64900,849386,2014,fiat,Ducato,Escolar
89900,100,2014,fiat,Ducato,Escolar 20 Lugares
95900,122040,2015,fiat,Ducato,Escolar
115900,205500,2013,fiat,Ducato,Escolar
97900,100,2014,fiat,Ducato,Escolar Escolar 20 Lugares
95900,100,2014,fiat,Ducato,Escolar 20 Lugares
95900,320000,2001,kia,Besta,3.0 Gs Grand 16l 4p
22900,239437,2018,mercedes,Sprinter,Van 2.2 Cdi 415 Luxo Teto Alto 5p
185000,503000,2008,mercedes,Sprinter,Van 2.2 Cdi 313 Executiva 5p
57900,48000,2009,volkswagem,Kombi,1.4 Standard Total Flex 3p
50000,320600,2009,volkswagem,Kombi,1.4 Lotação Total Flex 3p
25000,115000,2015,renault,Master,2.3 Executive L3h2 16l 5p
120000,89000,1999,volkswagem,Kombi,1.6 Std 3p Gasolina
29700,0,2020,mercedes,Sprinter,Van 2.2 Cdi 416 Longo Teto Alto (16l) 5p
189900,381987,2016,mercedes,Sprinter,Van 2.2 Cdi 415 Luxo Teto Alto 5p
149000,325000,2006,volkswagem,Kombi,1.4 Standard Total Flex 3p
16000,49000,2014,volkswagem,Kombi,1.4 Standard Total Flex 3p
54900,507758,2009,mercedes,Sprinter,Van 2.2 Cdi 413 Luxo Teto Alto Rd 5p
82000,500000,2007,citroen,Jumper,Citroën Jumper 2.8 Passageiro M33m 16l
55000,466000,1998,fiat,Ducato,2.5 Van Passageiros 5p
25900,389000,2004,kia,Besta,3.0 Gs Grand 16l 4p
40900,16000,2018,honda,Fit,1.5 Exl Flex Aut. 5p
77990,112000,2012,citroen,Aircross,1.6 16v Exclusive Flex 5p
37889,93000,2011,fiat,Idea,1.8 16v Adventure Flex 5p
33889,66000,2015,honda,Fit,1.5 Lx Flex Aut. 5p
49990,86429,2016,chevrolet,Spin,1.8 Activ 5l Aut. 5p
49900,59270,2019,peugeot,2008,1.6 16v Allure Flex Aut. 5p
53690,105000,2014,citroen,Aircross,1.6 16v Glx Atacama Flex 5p
35900,41000,2017,peugeot,2008,1.6 16v Griffe Flex Aut. 5p
51980,46000,2018,honda,Fit,1.5 Ex Flex Aut. 5p
69900,382000,2004,fiat,Doblo,1.8 Adventure 5p
22990,184000,2009,honda,Fit,1.4 Lx Flex 5p
25900,68000,2014,honda,Fit,1.5 Ex Flex Aut. 5p
46500,91000,2014,chevrolet,Spin,1.8 Lt 5l Aut. 5p
36500,80000,2005,honda,Fit,1.4 Lxl Aut. 5p
26900,207000,2007,chevrolet,Meriva,Meriva Maxx 1.8 (flex)
18870,92000,2015,chevrolet,Spin,1.8 Ltz 7l Aut. 5p
48900,135000,2008,chevrolet,Meriva,1.8 Premium Flex Power Easytronic 5p
21000,140000,2013,honda,Fit,1.4 Dx Flex 5p
33490,104000,2009,mercedes,Classe,B 2.0 5p
26200,11200,2020,chevrolet,Spin,1.8 Lt 5l Aut. 5p
71500,1600,2020,honda,Fit,1.5 Ex Flex Aut. 5p
85900,116000,2010,honda,Fit,1.4 Lx Flex 5p
31990,139000,2011,citroen,Aircross,1.6 16v Exclusive Flex 5p
31990,149000,2016,peugeot,2008,1.6 16v Griffe Flex 5p
44990,31800,2020,chevrolet,Spin,1.8 Activ 7l Aut. 5p
81890,85000,2007,mercedes,Classe,B 2.0 Turbo 5p
34800,180000,2006,honda,Fit,1.4 Lx 5p
19490,189000,2004,mercedes,Classe,A 1.6 Classic 5p
13999,65000,2015,bmw,225i,2.0 Cat Sport Gp 16v Turbo Gasolina 4p Automático
90999,91000,2013,fiat,Idea,1.6 16v Essence Flex Dualogic 5p
28300,73800,2009,chrysler,Pt,Cruiser 2.4 Classic 5p
