marca,modelo,motor,ano,quilometragem,novo,preco
renault,Scenic,2.0,2006,111000,0,48899
dodge,Journey,3.6,2015,71000,0,13900
dodge,Journey,3.6,2014,73000,0,70000
chevrolet,Zafira,2.0,2011,45000,0,74900
kia,Soul,1.6,2011,87000,0,37999
nissan,Livina,1.8,2013,75000,0,33900
chevrolet,Zafira,2.0,2005,113000,0,32900
citroen,Aircross,1.6,2018,25038,0,23950
fiat,Freemont,2.4,2012,150,0,59900
hyundai,Atos,1.0,2000,85370,0,49900
chevrolet,Zafira,2.0,2003,132123,0,13800
kia,Soul,1.6,2011,91000,0,19999
jac,J6,2.0,2014,59000,0,32900
honda,Fit,1.5,2008,163600,0,30890
citroen,Xsara,1.6,2011,85000,0,25900
nissan,Livina,1.8,2010,100000,0,21900
fiat,Doblo,1.8,2016,80000,0,26990
chevrolet,Zafira,2.0,2010,111111,0,70000
chevrolet,Onix,1.0,2017,70500,0,38320
fiat,Argo,1.3,2018,14272,0,35699
toyota,Etios,1.5,2017,32800,0,49990
hyundai,Hb20,1.6,2019,47200,0,53900
renault,Sandero,1.0,2016,80000,0,44900
volkswagem,Crossfox,1.6,2009,168110,0,30900
peugeot,308,1.6,2013,121000,0,23909
renault,Clio,1.0,2012,146000,0,35700
fiat,Uno,1.0,2020,44500,0,11900
chevrolet,Sonic,1.6,2014,63000,0,43900
toyota,Etios,1.3,2015,69322,0,35900
nissan,March,1.0,2016,73000,0,32900
fiat,Punto,1.4,2012,137900,0,31990
nissan,Tiida,1.8,2013,68247,0,26770
kia,Picanto,1.0,2012,69359,0,35900
peugeot,208,1.6,2016,97000,0,26900
hyundai,Hb20,1.6,2018,45001,0,42900
chevrolet,Onix,1.0,2019,70000,0,51900
peugeot,207,1.4,2012,84000,0,39900
peugeot,307,1.6,2009,87000,0,15550
volkswagem,Polo,1.6,2009,125000,0,21900
volkswagem,Gol,1.0,2014,105000,0,24800
volkswagem,Polo,1.6,2010,171000,0,23700
hyundai,Hb20,1.0,2016,64000,0,23890
fiat,Punto,1.8,2008,85000,0,37900
fiat,Argo,1.0,2019,27800,0,24000
fiat,Punto,1.4,2011,100000,0,45970
chevrolet,Onix,1.0,2014,57000,0,24890
hyundai,Hb20,1.0,2019,28200,0,31900
ford,Fiesta,1.0,2008,169801,0,46990
volkswagem,New,2.0,2000,76000,0,17000
ford,Focus,2.0,2006,200539,0,29900
renault,Sandero,1.6,2010,117000,0,17480
ford,Fiesta,1.6,2014,89400,0,21770
peugeot,307,2.0,2007,175000,0,35500
chery,Chery,1.1,2014,52109,0,15600
volkswagem,Up!,1.0,2015,95000,0,18900
fiat,500,1.4,2015,32264,0,29500
volkswagem,Fox,1.6,2015,77258,0,85900
fiat,Palio,1.0,2011,115000,0,38900
chevrolet,Celta,1.0,2014,163210,0,16990
ford,Fiesta,1.6,2014,59000,0,18900
renault,Sandero,1.0,2019,26000,0,25500
chevrolet,Onix,1.0,2019,58360,0,42980
audi,A3,1.4,2015,78000,0,39900
volkswagem,Gol,1.0,2008,25000,0,69999
bmw,Serie,2.0,2010,76000,0,23900
nissan,Tiida,1.8,2012,87350,0,40800
volkswagem,Jetta,2.0,2014,107000,0,239990
honda,Civic,1.8,2013,109820,0,65900
fiat,Siena,1.0,2009,76000,0,53890
citroen,C5,2.0,2010,78000,0,19890
chevrolet,Cobalt,1.8,2017,47921,0,33500
volkswagem,Santana,1.8,2001,161000,0,53800
renault,Logan,1.0,2020,27301,0,19900
toyota,Corolla,1.8,2014,61500,0,46970
hyundai,Hb20s,1.0,2014,106000,0,64000
fiat,Siena,1.0,2008,111,0,34990
volkswagem,Jetta,2.0,2012,158000,0,18000
ford,Fiesta,1.6,2007,103000,0,44990
volkswagem,Voyage,1.8,1994,100000,0,18990
volkswagem,Voyage,1.8,1995,44000,0,20900
chevrolet,Prisma,1.4,2015,58000,0,28890
ford,Fusion,2.0,2017,39000,0,39990
ford,Fiesta,1.6,2005,98000,0,109900
volkswagem,Voyage,1.6,2020,32000,0,17900
toyota,Yaris,1.5,2019,40155,0,54990
ford,Ka,1.5,2020,39000,0,78990
audi,A3,1.4,2016,50000,0,51999
audi,A3,1.4,2016,69000,0,61999
honda,Civic,1.8,2011,195000,0,71990
renault,Logan,1.0,2011,200000,0,38000
honda,Civic,1.8,2009,141659,0,15890
volkswagem,Jetta,2.0,2012,95000,0,36900
peugeot,307,2.0,2007,114634,0,53900
mercedes,Classe,1.6,2018,39000,0,17500
chevrolet,Corsa,1.0,2005,195542,0,128000
honda,Civic,1.8,2009,130000,0,14500
renault,Logan,1.0,2012,71793,0,36900
ford,Ka,1.0,2020,14000,0,19900
toyota,Corolla,1.8,2013,15000,0,46980
mercedes,Classe,1.6,2019,29800,0,50000
chevrolet,Classic,1.0,2010,67217,0,130498
mercedes,Classe,1.6,2015,42000,0,18900
fiat,Grand,1.0,2020,0,1,99990
ford,Fusion,2.5,2013,70000,0,50990
chevrolet,Corsa,1.0,2006,169000,0,59900
citroen,C4,2.0,2008,136000,0,12900
toyota,Corolla,2.0,2014,114000,0,17500
citroen,C4,2.0,2010,128000,0,57900
honda,Civic,2.0,2017,48000,0,22000
hyundai,Hb20s,1.6,2016,62000,0,89900
fiat,Siena,1.3,2005,165000,0,41800
fiat,Grand,1.4,2021,0,1,14490
ford,Focus,2.0,2005,179000,0,53990
renault,Logan,1.0,2019,79700,0,15999
kia,Sportage,2.0,2014,101016,0,79870
hyundai,Vera,3.8,2008,117000,0,65990
hyundai,Ix35,2.0,2012,85000,0,37500
hyundai,Tucson,2.0,2013,88000,0,58900
volkswagem,Tiguan,2.0,2011,58654,0,35000
jeep,Grand,3.6,2015,97290,0,54990
honda,Hr-v,1.8,2018,30000,0,80000
Mitsubishi,Pajero,2.0,2012,119000,0,83999
Mitsubishi,Outlander,3.0,2018,46000,0,45990
ford,Ecosport,2.0,2019,29389,0,139899
bmw,X4,2.0,2018,22000,0,86990
jeep,Renegade,1.8,2019,11712,0,229900
Mitsubishi,Pajero,3.8,2008,187000,0,74900
renault,Duster,1.6,2016,59000,0,49900
peugeot,3008,1.6,2012,85600,0,46890
honda,Hr-v,1.8,2016,97600,0,35900
chevrolet,Tracker,1.4,2018,23000,0,78990
land rover,Rover,2.0,2017,69000,0,70500
jeep,Compass,2.0,2020,4000,0,179980
chevrolet,Tracker,,2021,0,1,135000
land rover,Rover,2.7,2009,169000,0,112990
chevrolet,Blazer,2.4,2006,194000,0,63900
hyundai,Tucson,2.0,2014,85000,0,26900
kia,Sportage,2.0,2013,67000,0,46900
audi,Q3,1.4,2017,57000,0,59886
renault,Duster,2.0,2015,99000,0,96899
jeep,Renegade,1.8,2019,10000,0,43500
Mitsubishi,Pajero,2.0,2013,86200,0,75000
Mitsubishi,Outlander,2.0,2013,98000,0,46990
hyundai,Santa,3.5,2011,101600,0,49900
chevrolet,Tracker,1.4,2018,49000,0,47890
ford,Ecosport,1.6,2012,95000,0,76500
Mitsubishi,Pajero,3.8,2014,100000,0,35800
volvo,Xc60,2.0,2015,91000,0,95000
toyota,Sw4,3.0,2014,162000,0,78900
ford,Ecosport,1.6,2013,82786,0,139900
chevrolet,Tracker,1.8,2014,76000,0,46900
jeep,Compass,2.0,2021,0,1,57800
land rover,Rover,2.5,2005,97300,0,149500
citroen,C4,1.6,2019,18303,0,28000
nissan,Kicks,1.6,2017,104428,0,85790
hyundai,Santa,3.3,2015,85000,0,70580
land rover,Rover,2.5,2004,122000,0,91900
nissan,Kicks,1.6,2020,3322,0,28900
suzuki,Grand,2.5,1999,265000,0,79900
toyota,Hilux,3.0,2011,160935,0,24000
land rover,Rover,2.0,2016,60000,0,106900
kia,Sportage,2.0,2014,64011,0,154989
nissan,Frontier,2.5,2016,102872,0,179900
nissan,Frontier,2.3,2021,0,1,89890
renault,Master,2.3,2021,0,1,192938
mercedes,Sprinter,2.2,2021,0,1,142900
mercedes,Sprinter,2.2,2021,0,1,179900
fiat,Strada,1.3,2021,0,1,177900
volkswagem,Saveiro,1.6,2020,38000,0,89990
volkswagem,Saveiro,1.6,2020,31000,0,52900
fiat,Toro,2.0,2021,0,1,57980
toyota,Hilux,2.7,2015,82000,0,146890
chevrolet,S10,2.8,2013,205000,0,152596
chevrolet,Montana,1.4,2013,357738,0,86900
ford,F-250,3.9,2011,250,0,26990
chevrolet,S10,2.4,2009,138600,0,125900
fiat,Toro,1.8,2021,0,1,46800
fiat,Toro,2.0,2018,36000,0,90742
fiat,Strada,1.8,2015,80000,0,95900
ford,F-250,4.2,2005,176000,0,56900
fiat,Toro,1.8,2020,47000,0,100000
volkswagem,Amarok,3.0,2020,30000,0,91990
Mitsubishi,L200,2.5,2008,127000,0,217900
ford,Ranger,2.5,2015,1,0,55000
Mitsubishi,L200,2.5,2008,200000,0,82900
toyota,Hilux,2.7,2015,182000,0,39900
ford,F-1000,,1997,219200,0,82900
mercedes,Sprinter,2.2,2021,0,1,76900
fiat,Strada,1.4,2019,32400,0,146900
ford,Ranger,3.2,2020,19800,0,43990
volkswagem,Amarok,2.0,2014,200000,0,185000
toyota,Hilux,2.5,2009,302000,0,64500
fiat,Toro,2.0,2021,0,1,60000
Mitsubishi,L200,2.5,2005,1,0,154900
volkswagem,Saveiro,1.6,2002,199000,0,45900
fiat,Toro,2.0,2020,12000,0,19900
volkswagem,Saveiro,1.6,2020,31976,0,138900
ford,Ranger,3.2,2014,160000,0,85900
volkswagem,Saveiro,1.6,2018,74800,0,98000
volkswagem,Saveiro,1.6,2021,0,1,48900
fiat,Strada,1.4,2018,49523,0,65990
fiat,Toro,2.0,2019,22000,0,44990
toyota,Hilux,3.0,2015,114900,0,119900
Mitsubishi,L200,2.5,2012,165,0,149800
fiat,Strada,1.4,2019,47000,0,78000
chevrolet,S10,2.2,2000,198000,0,63890
volkswagem,Amarok,2.0,2013,58000,0,34990
volkswagem,Saveiro,1.6,2019,29000,0,83900
fiat,Toro,1.8,2017,70000,0,47980
fiat,Ducato,,2020,0,1,199900
renault,Master,2.3,2021,0,1,173900
renault,Master,2.3,2021,0,1,159900
renault,Master,2.3,2021,0,1,159900
fiat,Ducato,,2021,0,1,151900
fiat,Ducato,2.3,2020,0,1,139900
fiat,Ducato,,2020,0,1,159900
renault,Master,2.3,2021,0,1,145900
renault,Master,2.3,2021,0,1,195900
fiat,Ducato,2.3,2021,0,1,151900
renault,Master,,2021,0,1,153900
fiat,Ducato,,2020,0,1,166900
renault,Master,2.3,2021,0,1,134900
renault,Master,2.3,2021,0,1,151900
renault,Master,2.3,2021,0,1,157900
renault,Master,2.3,2021,0,1,157900
renault,Master,2.3,2021,0,1,178900
fiat,Ducato,,2019,0,1,159900
mercedes,Sprinter,,2019,0,1,174900
mercedes,Sprinter,2.2,2021,0,1,172900
